sku,itemName,itemVariety,itemType,cannabisType,status,toleranceLevel,isVegan,imgURL,salesDescription
50-GOL-DAR-120,Goldbar-Dark Chocolate/50-50/120mg,Edibles,50/50,Hybrid,Active,Low,Vegan,DocTemplates_ItemImage_23561530000006420412.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 10mg each of our own potent sun-grown cannabis oil. 50% THC and 50% CBD.
CBD-GOL-MIL-240,Goldbar-Milk Chocolate/CBD/240mg,Edibles,CBD,Hybrid,Active,Low,,DocTemplates_ItemImage_2356153000000642021.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. Our lab-tested Goldbar sets a gold standard in artisan cannabis chocolate. 12 square doses per bar with 20mg each of our own potent sun-grown cannabis oil.
CBD-GUM-STR-40M,Gummies-Strawberry-prosecco/CBD/40mg,Edibles,CBD,Hybrid,Active,Middle,,DocTemplates_ItemImage_2356153000000894075.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 40mg each of our own potent sun-grown cannabis oil per package.
CBD-BON-CHE-20M,Bonbons-Cherry/CBD/20mg,Edibles,CBD,Hybrid,Active,Low,Vegan,DocTemplates_ItemImage_2356153000000616163.png,"This discreet, tiny container of 20 European-style hard candy bonbons is perfect for on-the-go relief. Each candy contains 20mg of our own potent sun-grown cannabis oil."
CBD-BON-MIN-20M,Bonbons-Mint/CBD/20mg,Edibles,CBD,Hybrid,Active,Low,Vegan,DocTemplates_ItemImage_2356153000000486045.png,"This discreet, tiny container of 20 European-style hard candy bonbons is perfect for on-the-go relief. Each candy contains 20mg of our own potent sun-grown cannabis oil."
CBD-GOL-COO-240,Goldbar-Cookies & Cream/CBD/240mg,Edibles,CBD,Hybrid,Active,Low,,DocTemplates_ItemImage_2356153000000642001.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 20mg each of our own potent sun-grown cannabis oil.
CBD-GOL-DAR-240,Goldbar-Dark Chocolate/CBD/240mg,Edibles,CBD,Hybrid,Active,Low,Vegan,DocTemplates_ItemImage_2356153000000642011.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. Our lab-tested Goldbar sets a gold standard in artisan cannabis chocolate. 12 square doses per bar with 20mg each of our own potent sun-grown cannabis oil.
CBD-GUM-BLU-20M,Gummies-Blueberry-mango/CBD/20mg,Edibles,CBD,Hybrid,Active,Low,,DocTemplates_ItemImage_2356153000000894043.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 20mg each of our own potent sun-grown cannabis oil per package.
CBD-GUM-RAS-20M,Gummies-Raspberry-lemon/CBD/20mg,Edibles,CBD,Hybrid,Active,Low,,DocTemplates_ItemImage_2356153000000616017.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 20mg each of our own potent sun-grown cannabis oil per package.
CBD-GUM-STR-20M,Gummies-Strawberry-prosecco/CBD/20mg,Edibles,CBD,Hybrid,Active,Low,,DocTemplates_ItemImage_2356153000000894063.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 20mg each of our own potent sun-grown cannabis oil per package.
THC-BON-GIN-10M,Bonbons-Ginger/THC/10mg,Edibles,THC,Hybrid,Active,Middle,Vegan,DocTemplates_ItemImage_2356153000000616171.png,"This discreet, tiny container of 20 European-style hard candy bonbons is perfect for on-the-go relief. Each candy contains 10mg of our own potent sun-grown cannabis oil."
THC-BON-GRA-10M,Bonbons-Grapefruit/THC/10mg,Edibles,THC,Hybrid,Active,Middle,Vegan,DocTemplates_ItemImage_2356153000000894117.png,"This discreet, tiny container of 20 European-style hard candy bonbons is perfect for on-the-go relief. Each candy contains 10mg of our own potent sun-grown cannabis oil."
THC-BON-LEM-10M,Bonbons-Lemon/THC/10mg,Edibles,THC,Hybrid,Active,Middle,Vegan,DocTemplates_ItemImage_2356153000000616191.png,"This discreet, tiny container of 20 European-style hard candy bonbons is perfect for on-the-go relief. Each candy contains 10mg of our own potent sun-grown cannabis oil."
THC-BON-MIN-10M,Bonbons-Mint/THC/10mg,Edibles,THC,Hybrid,Active,Middle,Vegan,DocTemplates_ItemImage_2356153000000894087.png,"This discreet, tiny container of 20 European-style hard candy bonbons is perfect for on-the-go relief. Each candy contains 10mg of our own potent sun-grown cannabis oil."
THC-COC-OIL-120,Coconut Oil/THC/120mg,Edibles,THC,Hybrid,Active,Low,Vegan,DocTemplates_ItemImage_2356153000000602007.png,"Organic, refined, cannabis-infused. 120mg THC per 4oz jar. Please pre-order, thank you!"
THC-GOL-BLU-240,Goldbar-Blueberry/THC/240mg,Edibles,THC,Hybrid,Active,Middle,,DocTemplates_ItemImage_2356153000000260027.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 20mg each of our own potent sun-grown cannabis oil.
THC-GOL-COO-240,Goldbar-Cookies & Cream/THC/240mg,Edibles,THC,Hybrid,Active,Middle,,DocTemplates_ItemImage_2356153000000260071.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 20mg each of our own potent sun-grown cannabis oil.
THC-GOL-DAR-240,Goldbar-Dark Chocolate/THC/240mg,Edibles,THC,Hybrid,Active,Middle,Vegan,DocTemplates_ItemImage_2356153000000642051.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 20mg each of our own potent sun-grown cannabis oil.
THC-GOL-ESS-240,Goldbar-Espresso/THC/240mg,Edibles,THC,Hybrid,Active,Middle,,DocTemplates_ItemImage_2356153000001014001.png,It's time to wake up and Espresso Yourself! This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate and Guatemalan coffee beans will make you happy! 12 square doses per bar with 20mg each of our own potent sun-grown cannabis oil.
THC-GOL-MIT-240,Goldbar-Milk & Toffee/THC/240mg,Edibles,THC,Hybrid,Active,Middle,,DocTemplates_ItemImage_2356153000000676039.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 20mg each of our own potent sun-grown cannabis oil.
THC-GOL-MIL-240,Goldbar-Milk Chocolate/THC/240mg,Edibles,THC,Hybrid,Active,Middle,,DocTemplates_ItemImage_2356153000000667045.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 20mg each of our own potent sun-grown cannabis oil.
THC-GOL-MIN-240,Goldbar-Mint/THC/240mg,Edibles,THC,Hybrid,Active,Middle,,DocTemplates_ItemImage_2356153000000642103.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 20mg each of our own potent sun-grown cannabis oil.
THC-GOL-ORA-240,Goldbar-Orange/THC/240mg,Edibles,THC,Hybrid,Active,Middle,,DocTemplates_ItemImage_2356153000000260266.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 20mg each of our own potent sun-grown cannabis oil.
THC-GOL-RAS-240,Goldbar-Raspberry/THC/240mg,Edibles,THC,Hybrid,Active,Middle,,DocTemplates_ItemImage_23561530000002603042.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 20mg each of our own potent sun-grown cannabis oil.
THC-GOL-SAL-240,Goldbar-Salted Toffee/THC/240mg,Edibles,THC,Hybrid,Active,Middle,,DocTemplates_ItemImage_2356153000000260304.png,This decadent cannabis-infused dark chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 20mg each of our own potent sun-grown cannabis oil.
THC-GOL-TRI-240,Goldbar-Triple Berry/THC/240mg,Edibles,THC,Hybrid,Active,Middle,,DocTemplates_ItemImage_2356153000000672049.png,This decadent cannabis-infused chocolate bar made of silky imported Belgian chocolate is our flagship product. 12 square doses per bar with 20mg each of our own potent sun-grown cannabis oil.
THC-GUM-BLU-10M,Gummies-Blueberry-mango/THC/10mg,Edibles,THC,Hybrid,Active,Low,,DocTemplates_ItemImage_2356153000000616127.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 10mg each of our own potent sun-grown cannabis oil per package.
THC-GUM-CHE-10M,Gummies-Cherry-lime/THC/10mg,Edibles,THC,Hybrid,Active,Low,,DocTemplates_ItemImage_2356153000000616421.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 10mg each of our own potent sun-grown cannabis oil per package.
THC-GUM-ORA-10M,Gummies-Orange-pear/THC/10mg,Edibles,THC,Hybrid,Active,Low,,DocTemplates_ItemImage_2356153000000616051.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 10mg each of our own potent sun-grown cannabis oil per package.
THC-GUM-RAS-10M,Gummies-Raspberry-lemon/THC/10mg,Edibles,THC,Hybrid,Active,Low,,DocTemplates_ItemImage_2356153000000616009.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 10mg each of our own potent sun-grown cannabis oil per package.
THC-GUM-STR-10M,Gummies-Strawberry-prosecco/THC/10mg,Edibles,THC,Hybrid,Active,Low,,DocTemplates_ItemImage_2356153000000609227.png,Traditional and toothsome German gummies for your adult taste buds. 10 pieces with 10mg each of our own potent sun-grown cannabis oil per package.
THC-MAP-KIC-10,Maple Kicks THC 10 mg,Edibles,THC,Hybrid,Inactive,Low,,DocTemplates_ItemImage_2356153000000197000.png,"10mg THC per Maple Kick, 4 candies per bag. Please pre-order, thank you!"
THC-MAP-SYR-80M,Maple Syrup/THC/80mg,Edibles,THC,Hybrid,Active,Low,Vegan,DocTemplates_ItemImage_2356153000000718029.png,Organic Maple Syrup Maine made with our Full-Spectrum cannabis oil. Contains 80mg of THC.
